,NAME,total,male,female,black,aapi,other_race_alone,hispanic,median_income,state,county,bachelor_or_higher,fips
0,"Fayette County, Illinois",21565,11469,10096,1007,116,13,403,46650,17,051,4016,17051
1,"Logan County, Illinois",29003,14298,14705,2003,218,230,985,57308,17,107,5742,17107
2,"Saline County, Illinois",23994,11807,12187,632,178,122,428,44090,17,165,3859,17165
3,"Lake County, Illinois",701473,350466,351007,47385,54157,45309,152141,89427,17,097,159690,17097
4,"Massac County, Illinois",14219,6714,7505,830,29,0,419,47481,17,127,2386,17127
5,"Cass County, Illinois",12493,6236,6257,652,45,581,2362,52373,17,017,2535,17017
6,"Huntington County, Indiana",36359,17919,18440,357,263,420,894,53632,18,069,7636,18069
7,"White County, Indiana",24149,12063,12086,123,55,1518,2021,54576,18,181,4786,18181
8,"Jay County, Indiana",20840,10452,10388,76,157,162,647,47658,18,075,4312,18075
9,"Shelby County, Indiana",44438,21874,22564,519,250,796,1873,60404,18,145,10100,18145
10,"Sullivan County, Indiana",20730,11076,9654,830,106,77,360,50245,18,153,4205,18153
11,"Tippecanoe County, Indiana",191553,97798,93755,10168,15564,4561,15948,53130,18,157,36402,18157
12,"Hamilton County, Indiana",323117,157702,165415,12764,19336,2054,12928,98173,18,057,82528,18057
13,"Bartholomew County, Indiana",82481,41170,41311,1549,6104,2173,5572,63431,18,005,19801,18005
14,"Fulton County, Indiana",20096,9903,10193,186,90,565,1045,52034,18,049,4199,18049
15,"Noble County, Indiana",47506,23872,23634,228,314,245,4888,56789,18,113,9079,18113
16,"Clark County, Indiana",116507,56860,59647,7854,1263,1064,6264,55630,18,019,23355,18019
17,"Hendricks County, Indiana",163799,81767,82032,11507,4773,1565,6394,81933,18,063,35830,18063
18,"Grant County, Indiana",66452,31695,34757,4811,653,550,2846,44356,18,053,12563,18053
19,"Jackson County, Indiana",44025,21842,22183,473,983,1765,3086,51250,18,071,8908,18071
20,"Owen County, Indiana",20835,10636,10199,98,103,0,262,49543,18,119,4852,18119
21,"Whitley County, Indiana",33730,16755,16975,137,145,35,694,61741,18,183,7094,18183
22,"Clinton County, Indiana",32273,16067,16206,268,113,1967,5118,54286,18,023,6020,18023
23,"Union County, Indiana",7113,3480,3633,15,145,4,126,50375,18,161,1562,18161
24,"Dearborn County, Indiana",49479,24658,24821,431,279,137,646,68658,18,029,10765,18029
25,"Lawrence County, Indiana",45548,22485,23063,180,223,167,761,53610,18,093,9036,18093
26,"Perry County, Indiana",19102,10191,8911,577,97,70,266,52348,18,123,4463,18123
27,"Posey County, Indiana",25560,12744,12816,458,84,106,305,64196,18,129,5515,18129
28,"Carroll County, Indiana",20074,10085,9989,234,41,367,814,54806,18,015,4113,18015
29,"Fountain County, Indiana",16430,8254,8176,37,72,22,414,52874,18,045,3552,18045
30,"Starke County, Indiana",22952,11422,11530,198,60,156,869,51190,18,149,4647,18149
31,"Greene County, Indiana",32159,15971,16188,127,64,48,468,51613,18,055,6632,18055
32,"Benton County, Iowa",25636,12788,12848,143,85,179,386,67729,19,011,5814,19011
33,"Dubuque County, Iowa",96982,47818,49164,3440,1050,477,2395,63031,19,061,21991,19061
34,"Pocahontas County, Iowa",6797,3318,3479,40,91,31,260,52448,19,151,1431,19151
35,"Van Buren County, Iowa",7150,3665,3485,48,37,24,113,48591,19,177,1483,19177
36,"Adams County, Iowa",3670,1830,1840,2,9,27,49,49255,19,003,817,19003
37,"Audubon County, Iowa",5571,2770,2801,11,15,0,32,52055,19,009,1132,19009
38,"Davis County, Iowa",8920,4403,4517,4,57,3,131,63404,19,051,1624,19051
39,"Ida County, Iowa",6901,3442,3459,47,16,27,169,58427,19,093,1396,19093
40,"Monroe County, Iowa",7807,3886,3921,2,8,179,77,58269,19,135,1667,19135
41,"Sioux County, Iowa",34827,17485,17342,122,257,813,3743,69844,19,167,6084,19167
42,"Calhoun County, Iowa",9744,5057,4687,150,35,41,190,52323,19,025,2148,19025
43,"Cerro Gordo County, Iowa",42834,20905,21929,747,491,249,2086,53963,19,033,8677,19033
44,"Hardin County, Iowa",17061,8522,8539,221,13,93,743,54196,19,083,3751,19083
45,"Lucas County, Iowa",8583,4317,4266,8,0,34,172,55205,19,117,1834,19117
46,"Palo Alto County, Iowa",9003,4468,4535,214,30,24,253,52932,19,147,1782,19147
47,"Henry County, Iowa",19941,10133,9808,444,526,135,974,53501,19,087,4377,19087
48,"Jasper County, Iowa",36971,18879,18092,738,172,115,867,58952,19,099,8202,19099
49,"Poweshiek County, Iowa",18388,8839,9549,354,391,94,589,53852,19,157,4272,19157
50,"Clayton County, Iowa",17625,8946,8679,170,79,56,339,53152,19,043,4288,19043
51,"Bremer County, Iowa",24864,12313,12551,228,286,60,392,70395,19,017,5460,19017
52,"Emmet County, Iowa",9438,4728,4710,199,24,112,920,51563,19,063,1848,19063
